YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 02 22 00  57  1.5  1.8  0.26  3.85  3.29 999 1014.3   5.5   2.7 999.0 99.0 99.00
2006 05 02 23 00 110  1.0  1.2  0.24  3.57  3.23 999 1014.2   6.4   2.7 999.0 99.0 99.00
2006 05 03 00 00  98  1.0  1.7  0.20  3.57  3.22 999 1014.3   6.0   2.7 999.0 99.0 99.00
2006 05 03 01 00  87  2.3  3.6  0.17  3.57  3.24 999 1014.3   5.8   2.7 999.0 99.0 99.00
2006 05 03 02 00 108  3.9  4.3  0.15  3.33  3.16 999 1014.2   4.8   2.7 999.0 99.0 99.00
2006 05 03 03 00 123  4.0  4.6  0.00  0.00  0.00 999 1014.6   5.1   2.7 999.0 99.0 99.00
2006 05 03 04 00 128  3.2  3.7  0.00  0.00  0.00 999 1014.4   5.0   2.7 999.0 99.0 99.00
2006 05 03 05 00 129  3.1  3.6  0.00  0.00  0.00 999 1014.1   4.7   2.7 999.0 99.0 99.00
2006 05 03 06 00 129  3.3  3.7  0.00  0.00  0.00 999 1013.7   4.5   2.7 999.0 99.0 99.00
2006 05 03 07 00 157  3.2  3.6  0.00  0.00  0.00 999 1013.4   4.8   2.7 999.0 99.0 99.00
2006 05 03 08 00 158  3.3  3.5  0.00  0.00  0.00 999 1013.0   4.2   2.7 999.0 99.0 99.00
2006 05 03 09 00 168  3.6  4.0  0.00  0.00  0.00 999 1012.8   4.2   2.7 999.0 99.0 99.00
2006 05 03 10 00 166  4.1  4.5  0.00  0.00  0.00 999 1012.4   4.1   2.7 999.0 99.0 99.00
2006 05 03 11 00 176  4.6  5.0  0.00  0.00  0.00 999 1012.4   3.8   2.7 999.0 99.0 99.00
2006 05 03 12 00 163  4.7  5.4  0.00  0.00  0.00 999 1012.3   4.1   2.7 999.0 99.0 99.00
2006 05 03 13 00 169  4.5  5.1  0.00  0.00  0.00 999 1012.9   3.8   2.7 999.0 99.0 99.00
2006 05 03 14 00 134  4.5  5.8  0.23  2.70  2.81 999 1011.7   3.9   2.7 999.0 99.0 99.00
2006 05 03 15 00 131  5.9  6.6  0.29  2.94  2.90 999 1010.4   4.8   2.7 999.0 99.0 99.00
2006 05 03 16 00 136  8.0  8.8  0.28  2.86  2.83 999 1009.3   5.1   2.7 999.0 99.0 99.00
2006 05 03 17 00 145  6.2  7.0  0.47  3.03  2.92 999 1009.4   5.1   2.7 999.0 99.0 99.00
2006 05 03 18 00 146  4.6  5.5  0.43  3.13  3.07 999 1009.6   5.0   2.7 999.0 99.0 99.00
2006 05 03 19 00 176  3.3  4.0  0.50  3.33  3.16 999 1009.6   5.4   2.7 999.0 99.0 99.00
2006 05 03 20 00 291  2.4  2.9  0.52  3.23  3.26 999 1009.5   6.8   2.8 999.0 99.0 99.00
2006 05 03 21 00 315  2.7  3.5  0.45  3.57  3.36 999 1009.0   7.0   2.9 999.0 99.0 99.00
2006 05 03 22 00 304  3.3  4.0  0.43  3.57  3.34 999 1008.8   6.8   2.8 999.0 99.0 99.00
2006 05 03 23 00 103  0.4  1.4  0.39  3.45  3.28 999 1009.2   6.4   2.7 999.0 99.0 99.00
2006 05 04 00 00 311  0.3  0.7  0.40  3.45  3.17 999 1008.6   7.5   2.7 999.0 99.0 99.00
2006 05 04 01 00 249  1.9  2.3  0.55  3.45  3.55 999 1008.4   6.7   2.7 999.0 99.0 99.00
2006 05 04 02 00 266  5.8  6.4  0.55  4.76  3.71 999 1008.4   6.7   2.6 999.0 99.0 99.00
2006 05 04 03 00 251  4.4  4.8  0.50  4.35  3.67 999 1008.5   5.8   2.6 999.0 99.0 99.00
2006 05 04 04 00 251  4.9  6.9  0.51  4.55  3.76 999 1008.6   6.0   2.6 999.0 99.0 99.00
2006 05 04 05 00 205  3.8  4.5  0.47  4.35  3.56 999 1008.3   4.9   2.7 999.0 99.0 99.00
2006 05 04 06 00 229  5.2  5.9  0.37  3.45  3.47 999 1007.9   5.2   2.6 999.0 99.0 99.00
2006 05 04 07 00 239  6.5  7.2  0.39  4.17  3.53 999 1007.8   5.6   2.6 999.0 99.0 99.00
2006 05 04 08 00 251  9.6 10.8 99.00 99.00 99.00 999 1007.2   6.3   2.6 999.0 99.0 99.00
2006 05 04 09 00 243  7.8  9.0 99.00 99.00 99.00 999 1007.5   5.0   2.6 999.0 99.0 99.00
2006 05 04 10 00 225  7.1  8.2  0.91  4.55  3.97 999 1007.3   5.4   2.6 999.0 99.0 99.00
2006 05 04 11 00 224  7.6  9.1  1.08  5.56  4.42 999 1006.9   5.0   2.6 999.0 99.0 99.00
2006 05 04 12 00 233  8.2  9.4  1.06  5.56  4.13 999 1007.0   5.0   2.6 999.0 99.0 99.00
2006 05 04 13 00 241  6.8  7.8  1.06  5.56  4.14 999 1007.7   4.4   2.6 999.0 99.0 99.00
2006 05 04 14 00 256  8.8 10.7  0.93  4.76  4.14 999 1007.5   4.8   2.6 999.0 99.0 99.00
2006 05 04 15 00 275  9.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2006 05 04 19 00 263  8.8 11.2 99.00 99.00 99.00 999 1010.6   4.5   2.7 999.0 99.0 99.00
2006 05 04 20 00 263  8.3 10.0  1.52  5.88  4.72 999 1011.1   4.3   2.7 999.0 99.0 99.00
2006 05 04 21 00 261  8.0  9.7 99.00 99.00 99.00 999 1011.5   4.3   2.7 999.0 99.0 99.00
2006 05 04 22 00 271  8.1  9.5  1.30  5.00  4.47 999 1012.0   4.3   2.7 999.0 99.0 99.00
2006 05 05 00 00 286  6.7 99.0 99.00 99.00 99.00 999 9999.0   3.8 999.0 999.0 99.0 99.00
2006 05 05 01 00 283  5.8  6.7 99.00 99.00 99.00 999 1013.2   3.8   2.7 999.0 99.0 99.00
2006 05 05 02 00 301  3.8  4.6 99.00 99.00 99.00 999 1013.4   3.7   2.7 999.0 99.0 99.00
2006 05 05 04 00 321  5.8  6.9 99.00 99.00 99.00 999 1013.6   3.7   2.7 999.0 99.0 99.00
2006 05 05 05 00 322  5.6  6.8  0.80  5.00  4.17 999 1013.8   3.6   2.7 999.0 99.0 99.00
2006 05 05 06 00 310  5.7  7.0 99.00 99.00 99.00 999 1014.1   3.3   2.7 999.0 99.0 99.00
2006 05 05 07 00 314  6.0  7.4  0.79  4.35  3.92 999 1014.0   3.1   2.7 999.0 99.0 99.00
2006 05 05 08 00 322  6.0  7.2  0.81  4.35  3.88 999 1013.9   2.9   2.6 999.0 99.0 99.00
2006 05 05 09 00 327  6.0  7.1 99.00 99.00 99.00 999 1014.2   2.8   2.6 999.0 99.0 99.00
2006 05 05 10 00 327  6.3  7.2  0.78  4.35  3.91 999 1014.2   2.7   2.6 999.0 99.0 99.00
2006 05 05 11 00 335  6.3  7.5  0.75  4.55  3.96 999 1014.6   2.6   2.6 999.0 99.0 99.00
2006 05 05 12 00 333  7.3  8.4  0.82  4.76  3.89 999 1015.1   1.9   2.6 999.0 99.0 99.00
2006 05 05 13 00 345  7.4  8.9  0.86  5.00  4.03 999 1015.3   1.0   2.6 999.0 99.0 99.00
2006 05 05 14 00 355  6.7  7.8  0.72  4.17  3.82 999 1015.4   0.5   2.6 999.0 99.0 99.00
2006 05 05 15 00 357  5.6  6.5  0.63  4.00  3.73 999 1015.8   0.9   2.7 999.0 99.0 99.00
2006 05 05 16 00 351  5.3  6.8  0.57  4.35  3.72 999 1016.1   0.6   2.7 999.0 99.0 99.00
2006 05 05 17 00 345  5.0  7.3  0.55  4.00  3.70 999 1016.2   0.8   2.7 999.0 99.0 99.00
2006 05 05 18 00 327  5.5  8.0  0.58  4.00  3.50 999 1016.5   1.0   2.8 999.0 99.0 99.00
2006 05 05 19 00 319  6.9  8.2  0.60  3.85  3.43 999 1016.5   1.4   2.8 999.0 99.0 99.00
2006 05 05 20 00 317  6.8  7.8 99.00 99.00 99.00 999 1016.5   1.6   2.8 999.0 99.0 99.00
2006 05 05 22 00 292  8.1  9.2 99.00 99.00 99.00 999 1016.0   2.4   2.7 999.0 99.0 99.00
2006 05 06 00 00 285  7.6 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2006 05 06 05 00 267  6.1  7.4 99.00 99.00 99.00 999 1016.3   3.0   2.7 999.0 99.0 99.00
2006 05 06 06 00 267  4.3  5.2 99.00 99.00 99.00 999 1016.5   3.0   2.6 999.0 99.0 99.00
2006 05 06 07 00 272  3.7  4.8 99.00 99.00 99.00 999 1016.2   3.0   2.6 999.0 99.0 99.00
2006 05 06 08 00 281  5.7  6.8 99.00 99.00 99.00 999 1016.0   3.3   2.6 999.0 99.0 99.00
2006 05 06 09 00  71  1.7  2.5  0.76  4.55  3.95 999 1016.5   3.0   2.6 999.0 99.0 99.00
2006 05 06 10 00  36  2.2  2.9  0.70  4.76  3.86 999 1016.6   2.9   2.6 999.0 99.0 99.00
